127.0.0.1 - - [30/Jan/2017:15:16:15 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:16:17 +0530] "GET /AlmaBridgeB/ HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:16:30 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:08 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:09 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:12 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:13 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:46 +0530] "OPTIONS /AlmaBridgeB/registerUser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:46 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:46 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4461
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:46 +0530] "POST /AlmaBridgeB/registerUser HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:17:49 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:03 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:12 +0530] "GET /AlmaBridgeB/approve/GP/ HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:22 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:22 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:28 +0530] "OPTIONS /AlmaBridgeB/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:29 +0530] "POST /AlmaBridgeB/login HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:33 +0530] "GET /AlmaBridgeB/users HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:47 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:48 +0530] "GET /AlmaBridgeB/jobDetails HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:53 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:18:55 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:04 +0530] "GET /AlmaBridgeB/friends/GP/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:06 +0530] "GET /AlmaBridgeB/pendingFriendRequests/GP/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:13 +0530] "GET /AlmaBridgeB/pendingFriendRequests/GP/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:13 +0530] "GET /AlmaBridgeB/friends/GP/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:17 +0530] "GET /AlmaBridgeB/friends/GP/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:17 +0530] "GET /AlmaBridgeB/pendingFriendRequests/GP/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:20 +0530] "GET /AlmaBridgeB/friends/GP/ HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:21 +0530] "GET /AlmaBridgeB/pendingFriendRequests/GP/ HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:21 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:21 +0530] "GET /AlmaBridgeB/eventList HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:22 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:22 +0530] "GET /AlmaBridgeB/blogs HTTP/1.1" 200 2448
0:0:0:0:0:0:0:1 - - [30/Jan/2017:15:19:30 +0530] "GET /AlmaBridgeB/blog/41 HTTP/1.1" 200 366
