127.0.0.1 - - [23/Dec/2016:12:19:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/ HTTP/1.1" 200 7578
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/resources/angular-cookies/angular-ngCookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/resources/styles/mystyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_home/homeController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/app.js HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_event/eventService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_event/eventController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_job/jobService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_job/jobController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_friend/friendService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_friend/friendController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_blog/blogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_blog/blogcommentService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_blog/blogcommentController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_blog/blogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_user/registerController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:12:19:05 +0530] "GET /AlmaBridge/a_user/registerService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:13:09:17 +0530] "GET /AlmaBridge/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:13:09:17 +0530] "GET /AlmaBridge/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2016:13:18:07 +0530] "GET /AlmaBridge/resources/angular/angular.js HTTP/1.1" 200 1100836
